run_at_utc,week_label,admin_name,minutes
2025-10-12T07:18:58Z,last-7d,chani,1321
2025-10-12T07:18:58Z,last-7d,R()CK~KI||3R,530
2025-10-12T07:18:58Z,last-7d,DS || DaWaWeeN,445
2025-10-12T07:18:58Z,last-7d,95 | HakeRs,391
2025-10-12T07:18:58Z,last-7d,US-B,250
2025-10-12T07:18:58Z,last-7d,what the,236
2025-10-12T07:18:58Z,last-7d,BaRoN,208
2025-10-12T07:18:58Z,last-7d,GuNsNGloRy | AmmaR,208
2025-10-12T07:18:58Z,last-7d,BaReS,175
2025-10-12T07:18:58Z,last-7d,< gHo$T R1D3r=  >,163
2025-10-12T07:18:58Z,last-7d,s@bin@,105
2025-10-12T07:18:58Z,last-7d,LeaNuX || MeMo,56
2025-10-12T07:18:58Z,last-7d,DS || fReak*,16
2025-10-12T07:18:58Z,last-7d,Altair Ibn La Ahad,0
2025-10-12T07:18:58Z,last-7d,anouar,0
2025-10-12T07:18:58Z,last-7d,DS || Miladiii,0
2025-10-12T07:18:58Z,last-7d,DS || MuSTaFa,0
2025-10-12T07:18:58Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-10-12T07:18:58Z,last-7d,N00bie || (0-0),0
2025-10-12T07:18:58Z,last-7d,N00bie || MOUSE?,0
2025-10-12T07:18:58Z,last-7d,N00bie || WOLF,0
2025-10-12T07:18:58Z,last-7d,Noor,0
