run_at_utc,week_label,admin_name,minutes
2025-11-02T07:20:09Z,last-7d,95 | HakeRs,905
2025-11-02T07:20:09Z,last-7d,chani,871
2025-11-02T07:20:09Z,last-7d,LeaNuX || MeMo,648
2025-11-02T07:20:09Z,last-7d,BaRoN,469
2025-11-02T07:20:09Z,last-7d,GuNsNGloRy | AmmaR,392
2025-11-02T07:20:09Z,last-7d,R()CK~KI||3R,299
2025-11-02T07:20:09Z,last-7d,US-B,267
2025-11-02T07:20:09Z,last-7d,< gHo$T R1D3r=  >,203
2025-11-02T07:20:09Z,last-7d,s@bin@,182
2025-11-02T07:20:09Z,last-7d,DS || DaWaWeeN,132
2025-11-02T07:20:09Z,last-7d,BaReS,58
2025-11-02T07:20:09Z,last-7d,DS || fReak*,43
2025-11-02T07:20:09Z,last-7d,N00bie || MOUSE?,38
2025-11-02T07:20:09Z,last-7d,Altair Ibn La Ahad,0
2025-11-02T07:20:09Z,last-7d,anouar,0
2025-11-02T07:20:09Z,last-7d,DS || Miladiii,0
2025-11-02T07:20:09Z,last-7d,DS || MuSTaFa,0
2025-11-02T07:20:09Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-11-02T07:20:09Z,last-7d,N00bie || (0-0),0
2025-11-02T07:20:09Z,last-7d,N00bie || WOLF,0
2025-11-02T07:20:09Z,last-7d,Noor,0
2025-11-02T07:20:09Z,last-7d,what the,0
