run_at_utc,week_label,admin_name,minutes
2025-09-07T23:21:11Z,last-7d,LeaNuX || MeMo,1401
2025-09-07T23:21:11Z,last-7d,chani,1330
2025-09-07T23:21:11Z,last-7d,R()CK~KI||3R,1310
2025-09-07T23:21:11Z,last-7d,GuNsNGloRy | AmmaR,1109
2025-09-07T23:21:11Z,last-7d,BaReS,862
2025-09-07T23:21:11Z,last-7d,N00bie || MOUSE?,742
2025-09-07T23:21:11Z,last-7d,US-B,725
2025-09-07T23:21:11Z,last-7d,95 | HakeRs,572
2025-09-07T23:21:11Z,last-7d,what the,437
2025-09-07T23:21:11Z,last-7d,< gHo$T R1D3r=  >,369
2025-09-07T23:21:11Z,last-7d,s@bin@,365
2025-09-07T23:21:11Z,last-7d,DS || DaWaWeeN,335
2025-09-07T23:21:11Z,last-7d,BaRoN,227
2025-09-07T23:21:11Z,last-7d,DS || Miladiii,116
2025-09-07T23:21:11Z,last-7d,DS || fReak*,88
2025-09-07T23:21:11Z,last-7d,J 4 C K | R 3 4 C H 3 R,63
2025-09-07T23:21:11Z,last-7d,N00bie || (0-0),31
2025-09-07T23:21:11Z,last-7d,N00bie || WOLF,12
2025-09-07T23:21:11Z,last-7d,Altair Ibn La Ahad,0
2025-09-07T23:21:11Z,last-7d,anouar,0
2025-09-07T23:21:11Z,last-7d,DS || MuSTaFa,0
2025-09-07T23:21:11Z,last-7d,Noor,0
