run_at_utc,week_label,admin_name,minutes
2025-10-26T07:19:47Z,last-7d,chani,794
2025-10-26T07:19:47Z,last-7d,LeaNuX || MeMo,716
2025-10-26T07:19:47Z,last-7d,GuNsNGloRy | AmmaR,668
2025-10-26T07:19:47Z,last-7d,s@bin@,399
2025-10-26T07:19:47Z,last-7d,R()CK~KI||3R,377
2025-10-26T07:19:47Z,last-7d,95 | HakeRs,342
2025-10-26T07:19:47Z,last-7d,< gHo$T R1D3r=  >,265
2025-10-26T07:19:47Z,last-7d,DS || fReak*,184
2025-10-26T07:19:47Z,last-7d,what the,137
2025-10-26T07:19:47Z,last-7d,US-B,98
2025-10-26T07:19:47Z,last-7d,DS || DaWaWeeN,69
2025-10-26T07:19:47Z,last-7d,BaReS,61
2025-10-26T07:19:47Z,last-7d,N00bie || MOUSE?,12
2025-10-26T07:19:47Z,last-7d,Altair Ibn La Ahad,0
2025-10-26T07:19:47Z,last-7d,anouar,0
2025-10-26T07:19:47Z,last-7d,BaRoN,0
2025-10-26T07:19:47Z,last-7d,DS || Miladiii,0
2025-10-26T07:19:47Z,last-7d,DS || MuSTaFa,0
2025-10-26T07:19:47Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-10-26T07:19:47Z,last-7d,N00bie || (0-0),0
2025-10-26T07:19:47Z,last-7d,N00bie || WOLF,0
2025-10-26T07:19:47Z,last-7d,Noor,0
