run_at_utc,week_label,admin_name,minutes
2025-11-16T07:21:06Z,last-7d,s@bin@,503
2025-11-16T07:21:06Z,last-7d,BaRoN,448
2025-11-16T07:21:06Z,last-7d,95 | HakeRs,440
2025-11-16T07:21:06Z,last-7d,chani,411
2025-11-16T07:21:06Z,last-7d,DS || DaWaWeeN,383
2025-11-16T07:21:06Z,last-7d,R()CK~KI||3R,293
2025-11-16T07:21:06Z,last-7d,GuNsNGloRy | AmmaR,259
2025-11-16T07:21:06Z,last-7d,LeaNuX || MeMo,242
2025-11-16T07:21:06Z,last-7d,US-B,241
2025-11-16T07:21:06Z,last-7d,< gHo$T R1D3r=  >,183
2025-11-16T07:21:06Z,last-7d,BaReS,33
2025-11-16T07:21:06Z,last-7d,DS || fReak*,15
2025-11-16T07:21:06Z,last-7d,Altair Ibn La Ahad,0
2025-11-16T07:21:06Z,last-7d,anouar,0
2025-11-16T07:21:06Z,last-7d,DS || Miladiii,0
2025-11-16T07:21:06Z,last-7d,DS || MuSTaFa,0
2025-11-16T07:21:06Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-11-16T07:21:06Z,last-7d,N00bie || (0-0),0
2025-11-16T07:21:06Z,last-7d,N00bie || MOUSE?,0
2025-11-16T07:21:06Z,last-7d,N00bie || WOLF,0
2025-11-16T07:21:06Z,last-7d,Noor,0
2025-11-16T07:21:06Z,last-7d,what the,0
