run_at_utc,week_label,admin_name,minutes
2025-09-28T07:18:42Z,last-7d,R()CK~KI||3R,938
2025-09-28T07:18:42Z,last-7d,chani,915
2025-09-28T07:18:42Z,last-7d,what the,659
2025-09-28T07:18:42Z,last-7d,GuNsNGloRy | AmmaR,656
2025-09-28T07:18:42Z,last-7d,DS || DaWaWeeN,433
2025-09-28T07:18:42Z,last-7d,BaRoN,369
2025-09-28T07:18:42Z,last-7d,95 | HakeRs,359
2025-09-28T07:18:42Z,last-7d,US-B,311
2025-09-28T07:18:42Z,last-7d,s@bin@,272
2025-09-28T07:18:42Z,last-7d,< gHo$T R1D3r=  >,258
2025-09-28T07:18:42Z,last-7d,BaReS,41
2025-09-28T07:18:42Z,last-7d,DS || fReak*,16
2025-09-28T07:18:42Z,last-7d,Altair Ibn La Ahad,0
2025-09-28T07:18:42Z,last-7d,anouar,0
2025-09-28T07:18:42Z,last-7d,DS || Miladiii,0
2025-09-28T07:18:42Z,last-7d,DS || MuSTaFa,0
2025-09-28T07:18:42Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-09-28T07:18:42Z,last-7d,LeaNuX || MeMo,0
2025-09-28T07:18:42Z,last-7d,N00bie || (0-0),0
2025-09-28T07:18:42Z,last-7d,N00bie || MOUSE?,0
2025-09-28T07:18:42Z,last-7d,N00bie || WOLF,0
2025-09-28T07:18:42Z,last-7d,Noor,0
