run_at_utc,week_label,admin_name,minutes
2025-10-19T07:19:13Z,last-7d,GuNsNGloRy | AmmaR,1150
2025-10-19T07:19:13Z,last-7d,LeaNuX || MeMo,800
2025-10-19T07:19:13Z,last-7d,R()CK~KI||3R,727
2025-10-19T07:19:13Z,last-7d,chani,696
2025-10-19T07:19:13Z,last-7d,95 | HakeRs,549
2025-10-19T07:19:13Z,last-7d,s@bin@,442
2025-10-19T07:19:13Z,last-7d,BaReS,370
2025-10-19T07:19:13Z,last-7d,what the,364
2025-10-19T07:19:13Z,last-7d,US-B,333
2025-10-19T07:19:13Z,last-7d,DS || DaWaWeeN,298
2025-10-19T07:19:13Z,last-7d,BaRoN,285
2025-10-19T07:19:13Z,last-7d,< gHo$T R1D3r=  >,267
2025-10-19T07:19:13Z,last-7d,DS || fReak*,73
2025-10-19T07:19:13Z,last-7d,Altair Ibn La Ahad,0
2025-10-19T07:19:13Z,last-7d,anouar,0
2025-10-19T07:19:13Z,last-7d,DS || Miladiii,0
2025-10-19T07:19:13Z,last-7d,DS || MuSTaFa,0
2025-10-19T07:19:13Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-10-19T07:19:13Z,last-7d,N00bie || (0-0),0
2025-10-19T07:19:13Z,last-7d,N00bie || MOUSE?,0
2025-10-19T07:19:13Z,last-7d,N00bie || WOLF,0
2025-10-19T07:19:13Z,last-7d,Noor,0
