run_at_utc,week_label,admin_name,minutes
2025-11-09T07:20:31Z,last-7d,GuNsNGloRy | AmmaR,778
2025-11-09T07:20:31Z,last-7d,BaRoN,663
2025-11-09T07:20:31Z,last-7d,chani,593
2025-11-09T07:20:31Z,last-7d,R()CK~KI||3R,588
2025-11-09T07:20:31Z,last-7d,95 | HakeRs,555
2025-11-09T07:20:31Z,last-7d,DS || DaWaWeeN,317
2025-11-09T07:20:31Z,last-7d,LeaNuX || MeMo,289
2025-11-09T07:20:31Z,last-7d,BaReS,244
2025-11-09T07:20:31Z,last-7d,< gHo$T R1D3r=  >,221
2025-11-09T07:20:31Z,last-7d,s@bin@,119
2025-11-09T07:20:31Z,last-7d,DS || fReak*,38
2025-11-09T07:20:31Z,last-7d,Altair Ibn La Ahad,0
2025-11-09T07:20:31Z,last-7d,anouar,0
2025-11-09T07:20:31Z,last-7d,DS || Miladiii,0
2025-11-09T07:20:31Z,last-7d,DS || MuSTaFa,0
2025-11-09T07:20:31Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-11-09T07:20:31Z,last-7d,N00bie || (0-0),0
2025-11-09T07:20:31Z,last-7d,N00bie || MOUSE?,0
2025-11-09T07:20:31Z,last-7d,N00bie || WOLF,0
2025-11-09T07:20:31Z,last-7d,Noor,0
2025-11-09T07:20:31Z,last-7d,US-B,0
2025-11-09T07:20:31Z,last-7d,what the,0
